Stamp,ID
5115110185W22191400536,"null	"
5115110185W22191400537,"null	"
5115110185W22191400538,"null	"
5115110185W22191400539,"null	"
5115110185W22191400540,"null	"
5115110185W22191400541,"null	"
5115110185W22191400542,"184717954110427	"
5115110185W22191400543,"null	"
5115110185W22191400544,"null	"
5115110185W22191400545,"null	"
5115110185W22191400546,"null	"
5115110185W22191400547,"null	"
5115110185W22191400548,"null	"
5115110185W22191400549,"null	"
5115110185W22191400550,"null	"
5115110185W22191400551,"null	"
5115110185W22191400552,"null	"
5115110185W22191400553,"null	"
5115110185W22191400554,"null	"
5115110185W22191400555,"null	"
5115110185W22191400556,"null	"
5115110185W22191400557,"null	"
5115110185W22191400558,"null	"
5115110185W22191400559,"null	"
5115110185W22191400560,"null	"
5115110185W22191400561,"193514046882756	"
5115110185W22191400562,"null	"
5115110185W22191400563,"null	"
5115110185W22191400564,"189116000659888	"
5115110185W22191400565,"null	"
5115110185W22191400566,"null	"
5115110185W22191400567,"181419419281534	"
5115110185W22191400568,"null	"
5115110185W22191400569,"179220396036325	"
5115110185W22191400570,"null	"
5115110185W22191400571,"null	"
5115110185W22191400572,"null	"
5115110185W22191400573,"null	"
5115110185W22191400574,"null	"
5115110185W22191400575,"null	"
5115110185W22191400576,"null	"
5115110185W22191400577,"null	"
5115110185W22191400578,"175921861125341	"
5115110185W22191400579,"null	"
5115110185W22191400580,"null	"
5115110185W22191400581,"null	"
5115110185W22191400582,"null	"
5115110185W22191400583,"null	"
5115110185W22191400584,"null	"
5115110185W22191400585,"null	"
5115110185W22191400586,"null	"
5115110185W22191400587,"null	"
5115110185W22191400588,"null	"
5115110185W22191400589,"null	"
5115110185W22191400590,"null	"
5115110185W22191400591,"null	"
5115110185W22191400592,"null	"
5115110185W22191400593,"null	"
5115110185W22191400594,"null	"
5115110185W22191400595,"null	"
5115110185W22191400596,"null	"
5115110185W22191400597,"null	"
5115110185W22191400598,"null	"
5115110185W22191400599,"null	"
5115110185W22191400600,"null	"
5115110185W22191400601,"null	"
5115110185W22191400602,"null	"
5115110185W22191400603,"null	"
5115110185W22191400604,"null	"
5115110185W22191400605,"null	"
5115110185W22191400606,"null	"
5115110185W22191400607,"null	"
5115110185W22191400608,"null	"
5115110185W22191400609,"null	"
5115110185W22191400610,"null	"
5115110185W22191400611,"null	"
5115110185W22191400612,"null	"
5115110185W22191400613,"null	"
5115110185W22191400614,"null	"
5115110185W22191400615,"null	"
5115110185W22191400616,"null	"
5115110185W22191400617,"null	"
5115110185W22191400618,"null	"
5115110185W22191400619,"null	"
5115110185W22191400620,"null	"
5115110185W22191400621,"null	"
5115110185W22191400622,"null	"
5115110185W22191400623,"null	"
5115110185W22191400624,"null	"
5115110185W22191400625,"null	"
5115110185W22191400626,"null	"
5115110185W22191400627,"null	"
5115110185W22191400628,"null	"
5115110185W22191400629,"null	"
5115110185W22191400630,"null	"
5115110185W22191400631,"null	"
5115110185W22191400632,"null	"
5115110185W22191400633,"null	"
5115110185W22191400634,"null	"
5115110185W22191400635,"null	"
5115110185W22191400636,"null	"
5115110185W22191400637,"null	"
5115110185W22191400638,"null	"
5115110185W22191400639,"null	"
5115110185W22191400640,"null	"
5115110185W22191400641,"null	"
5115110185W22191400642,"null	"
5115110185W22191400643,"null	"
5115110185W22191400644,"null	"
5115110185W22191400645,"null	"
5115110185W22191400646,"null	"
5115110185W22191400647,"null	"
5115110185W22191400648,"null	"
5115110185W22191400649,"null	"
5115110185W22191400650,"null	"
5115110185W22191400651,"null	"
5115110185W22191400652,"null	"
5115110185W22191400653,"null	"
5115110185W22191400654,"null	"
5115110185W22191400655,"null	"
5115110185W22191400656,"179220395983520	"
5115110185W22191400657,"null	"
5115110185W22191400658,"null	"
5115110185W22191400659,"193514046858816	"
5115110185W22191400660,"null	"
5115110185W22191400661,"188016489033318	"
5115110185W22191400662,"null	"
5115110185W22191400663,"null	"
5115110185W22191400664,"179220395962746	"
5115110185W22191400665,"null	"
5115110185W22191400666,"null	"
5115110185W22191400667,"null	"
5115110185W22191400668,"null	"
5115110185W22191400669,"null	"
5115110185W22191400670,"null	"
5115110185W22191400671,"188016489022041	"
5115110185W22191400672,"185817465826519	"
5115110185W22191400673,"null	"
5115110185W22191400674,"null	"
5115110185W22191400675,"null	"
5115110185W22191400676,"null	"
5115110185W22191400677,"188016489073416	"
5115110185W22191400678,"null	"
5115110185W22191400679,"null	"
5115110185W22191400680,"null	"
5115110185W22191400681,"181419419221895	"
5115110185W22191400682,"null	"
